video_id,group,4b_success,9b_official_success,9b_salvaged,salvaged_temporal,4b_precision,4b_recall,4b_f1,4b_tiou,9b_official_precision,9b_official_recall,9b_official_f1,9b_official_tiou,9b_salvaged_precision,9b_salvaged_recall,9b_salvaged_f1,9b_salvaged_tiou,4b_coverage,9b_coverage,9b_official_coverage,9b_salvaged_coverage,4b_segment_count,9b_segment_count,9b_official_segment_count,9b_salvaged_segment_count,4b_raw_candidate_count,9b_raw_candidate_count,schema_compliant,schema_failure_reason,delta_precision,delta_recall,delta_f1,delta_tiou,notes
qvh_000023_9x16,single_segment,true,true,false,false,0.7834386928346122,1.0,0.8785709270324379,0.7834386928346121,0.7834386928346122,1.0,0.8785709270324379,0.7834386928346121,0.7834386928346122,1.0,0.8785709270324379,0.7834386928346121,1.0000000180891717,1.0000000180891717,1.0000000180891717,1.0000000180891717,1,1,1,1,1,1,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000337_9x16,single_segment,true,true,false,false,0.3874996128874996,1.0,0.5585581563962838,0.3874996128874996,0.3874996128874996,1.0,0.5585581563962838,0.3874996128874996,0.3874996128874996,1.0,0.5585581563962838,0.3874996128874996,0.9999999989999998,0.9999999989999998,0.9999999989999998,0.9999999989999998,2,2,2,2,2,2,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000757_9x16,single_segment,true,true,false,false,0.46575342465753433,1.0,0.6355140186915889,0.46575342465753433,0.4986666666666667,1.0,0.6654804270462633,0.4986666666666667,0.4986666666666667,1.0,0.6654804270462633,0.4986666666666667,1.0,0.9339975093399752,0.9339975093399752,0.9339975093399752,6,3,3,3,7,4,true,,0.03291324200913237,0.0,0.029966408354674456,0.03291324200913237,official_equals_temporal_diagnostic
qvh_000602_9x16,single_segment,true,true,false,false,0.10695786454116679,1.0,0.19324649648792322,0.10695786454116679,0.1796346489356456,1.0,0.30455980433895424,0.1796346489356456,0.1796346489356456,1.0,0.30455980433895424,0.1796346489356456,0.9999958878504671,0.5954164485981307,0.5954164485981307,0.5954164485981307,7,4,4,4,7,4,true,,0.0726767843944788,0.0,0.11131330785103102,0.0726767843944788,official_equals_temporal_diagnostic
qvh_000949_9x16,single_segment,true,true,false,false,0.11722113299930494,1.0,0.20984410254505606,0.11722113299930494,0.17018328589285978,1.0,0.29086603431189584,0.17018328589285978,0.17018328589285978,1.0,0.29086603431189584,0.17018328589285978,0.9999896265560166,0.688786307053942,0.688786307053942,0.688786307053942,6,3,3,3,7,3,true,,0.05296215289355484,0.0,0.08102193176683978,0.05296215289355484,official_equals_temporal_diagnostic
qvh_000531_9x16,double_segment,true,true,false,false,0.5048231292517006,0.8237207237207237,0.6259985659454215,0.45560255646760506,0.5048231292517006,0.8237207237207237,0.6259985659454215,0.45560255646760506,0.5048231292517006,0.8237207237207237,0.6259985659454215,0.45560255646760506,0.5207553191489362,0.5207553191489362,0.5207553191489362,0.5207553191489362,1,1,1,1,1,1,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000612_9x16,double_segment,true,true,false,false,0.5462957303333537,1.0,0.7065863529424377,0.5462957303333537,0.5462957303333537,1.0,0.7065863529424377,0.5462957303333537,0.5462957303333537,1.0,0.7065863529424377,0.5462957303333537,1.000000036,1.000000036,1.000000036,1.000000036,3,1,1,1,3,1,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000067_9x16,double_segment,true,true,false,false,0.1831192589132804,1.0,0.3095533396717407,0.1831192589132804,0.1831192589132804,1.0,0.3095533396717407,0.1831192589132804,0.1831192589132804,1.0,0.3095533396717407,0.1831192589132804,0.999986025974026,0.999986025974026,0.999986025974026,0.999986025974026,7,8,8,8,8,9,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000781_9x16,double_segment,true,true,false,false,0.1407599631818382,1.0,0.24678278993808084,0.1407599631818382,0.1334487394749638,1.0,0.23547379749485617,0.1334487394749638,0.1334487394749638,1.0,0.23547379749485617,0.1334487394749638,0.9480589296707107,1.0000000041941075,1.0000000041941075,1.0000000041941075,3,3,3,3,3,3,true,,-0.007311223706874398,0.0,-0.011308992443224669,-0.007311223706874398,official_equals_temporal_diagnostic
qvh_000629_9x16,double_segment,true,true,false,false,0.08558558558558559,1.0,0.15767634854771784,0.08558558558558559,0.08558558558558559,1.0,0.15767634854771784,0.08558558558558559,0.08558558558558559,1.0,0.15767634854771784,0.08558558558558559,1.0,1.0,1.0,1.0,3,3,3,3,3,3,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
